Organization/Person Name,Number of Investments,Number of Exits
KIZOO Technology Capital,49,5
Pi Campus,49,7
Bertelsmann India Investments,49,4
Next Media Accelerator,49,5
CM-CIC Capital Prive,49,15
Augmentum Fintech,48,7
M&G Investments,48,10
VEF,48,3
Creator Fund,48,1
Clarendon Fund Managers,48,3
Medicxi,48,13
Bynd Venture Capital,48,5
Unruly Capital,48,1
H14,48,6
Inbox Capital,48,8
BB Biotech Ventures,48,12
Neomed Management,48,19
Anaxago,48,8
VentureFounders,48,7
AIB Seed Capital Fund,48,11
EWOR,47,
Finnfund,47,6
Hi Inov - Dentressangle,47,7
MITON,47,3
Blackfinch Ventures,47,1
The Delta,47,1
Quadrille Capital,47,11
Bright Capital,47,12
N1,47,
Principia SGR,47,8
Boost Fund,47,1
Neulogy Ventures,47,4
DOEN Participaties,46,2
Graduate Entrepreneur Fund,46,
Moonrock Capital,46,
212,46,3
Bullnet Capital,46,6
Syncona Partners LLP,46,10
Nanabianca,46,5
Buildit Accelerator,46,
Crescent Capital,46,15
CDP Equity,46,2
J12,46,1
Neuhaus Partners,46,21
Angel Investment Network,46,7
Vsquared Ventures,45,
DAO Maker,45,
DFF Ventures,45,1
Endeit Capital,45,23
Day One Capital,45,6
Matterwave Ventures,45,1
Lighthouse Ventures,45,2
Guinness Ventures,45,3
KR1,45,
LVL1 Group,45,10
FTTF,45,1
Redline Capital,45,13
Technology Fund,45,4
Apicap,45,14
Greenfield,44,1
Moonfire Ventures,44,1
Pale blue dot,44,
Yabeo,44,7
Ponderosa Ventures,44,
Educapital,44,2
Contrarian Ventures,44,1
First Momentum Ventures,44,2
Anterra Capital,44,3
Munich Venture Partners,44,8
Enjoyventure Management,44,6
Symvan Capital,44,
Innovatiefonds Noord-Holland,44,
Atlante Ventures,44,6
Demium,43,1
Insurtech Gateway,43,2
Statkraft Ventures,43,4
Vendep Capital,43,3
Launchbay Capital,43,4
O2h Ventures,43,4
Seroba Life Sciences,43,10
J&T Ventures,43,5
IRDI SORIDEC Gestion,43,2
Spark Ventures,43,11
Entrepreneurs Fund,43,14
Inventures SA,43,4
Opes Impact Fund,43,1
ADV,43,5
Hiro Capital,42,4
TechVision Fund,42,6
Dig Ventures,42,3
Aggregate Media,42,1
Ring Capital,42,4
dmg ventures,42,9
2Shares,42,1
Frog Capital,42,13
Crowberry Capital,42,1
Gresham House Ventures,42,2
Jenson Funding Partners,42,
LeadX Capital Partners,42,4
O.G. Venture Partners,42,5
Media Ventures,42,9
Swiss Founders Fund,42,5
TechOne VC,42,1
SMOK Ventures,42,
MPGI,42,5
Aqua Spark,41,2
NEAR Foundation,41,
Voima Ventures,41,1
Nord France Amorcage,41,3
TRGC,41,
Diffusion Capital Partners,41,2
Btomorrow Ventures,41,2
DOB Equity,41,
CABRA VC,41,5
Active Venture Partners,41,13
RTA.vc,41,3
Sviluppo Imprese Centro Italia,41,5
Sure Valley Ventures,41,5
Korelya Capital,41,2
Innovations Kapital,41,15
Groupe Arnault,41,18
NLC,40,
Dementia Discovery Fund,40,3
Singular,40,1
Active Partners,40,1
Metavallon VC,40,2
Invitalia,40,
Dialectic,40,1
Early Game Ventures,40,
AENU,40,
Seier Capital,40,4
Western Development Commission,40,5
FORWARD.one,40,2
InReach Ventures,40,6
Goodwell Investments,40,
SmartFin,40,7
Everstake Capital,40,
Creative UK,40,3
Emertec,40,5
Doughty Hanson & Co,40,16
Keen Venture Partners,40,4
E3 Capital,40,2
Carbon13,39,
