Organization/Person Name,Number of Investments,Number of Exits,Region,Score
Tech Square Ventures,124,5.0,US,134.0
Cota Capital,198,32.0,US,262.0
BDev Ventures,43,2.0,US,47.0
Grand Ventures,38,3.0,US,44.0
Initialized Capital,532,101.0,US,734.0
Underscore VC,87,11.0,US,109.0
GreatPoint Ventures,117,8.0,US,133.0
IGNIA,76,7.0,US,90.0
137 Ventures,40,17.0,US,74.0
DNX Ventures,262,34.0,US,330.0
The MBA Fund,67,6.0,US,79.0
IA Capital Group,82,21.0,US,124.0
Logos Capital,125,74.0,US,273.0
HPA (Hyde Park Angels),147,25.0,US,197.0
Umami Capital,37,1.0,US,39.0
Western Technology Investment,404,142.0,US,688.0
Bullish,69,12.0,US,93.0
BioGenerator,79,8.0,US,95.0
Rock Springs Capital,149,97.0,US,343.0
Compound,226,59.0,US,344.0
American Express Ventures,173,40.0,US,253.0
Moxxie Ventures,43,2.0,US,47.0
RSE Ventures,42,15.0,US,72.0
Navitas Capital,73,10.0,US,93.0
Kindred Ventures,114,9.0,US,132.0
Xfund,69,10.0,US,89.0
Koch Disruptive Technologies,72,4.0,US,80.0
Refactor,90,10.0,US,110.0
Sequoia Scout,45,5.0,US,55.0
FM Capital,41,6.0,US,53.0
MaC Venture Capital,239,20.0,US,279.0
Sway Ventures,84,23.0,US,130.0
Breakout Ventures,34,2.0,US,38.0
Hatteras Venture Partners,116,25.0,US,166.0
Scale Venture Partners,311,81.0,US,473.0
Susa Ventures,248,27.0,US,302.0
Chingona Ventures,46,4.0,US,54.0
Advantage Capital,1132,123.0,US,1378.0
Race Capital,42,1.0,US,44.0
Kraken Ventures,51,,US,
Ribbit Capital,234,21.0,US,276.0
Flare Capital Partners,84,12.0,US,108.0
Redmile Group,181,93.0,US,367.0
Upfront Ventures,414,81.0,US,576.0
Munich Re Ventures,84,6.0,US,96.0
MassVentures,435,79.0,US,593.0
Ground Up Ventures,45,4.0,US,53.0
DCVC,512,106.0,US,724.0
Second Century Ventures,213,25.0,US,263.0
